;name;description;price;scrap_date;supplier;type_of_product;sub_type_product;product_link
0;SOFA CITO 2 CUERPOS LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$295.000 $215.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-cito-2-cuerpos-lino/
1;SOFA CAPITONE CHESTERFIELD 3 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Hilos de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera torneada.";$445.000 $365.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-capitone-chesterfield-felpa/
2;SOFA CAPITONE CHESTERFIELD 3 CUERPOS CUERO BONDED ENVEJECIDO;"Tela cuero bonded envejecido de alta resistencia lavable en el cuerpo y brazos del sillon
Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Hilos de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera torneada.";$495.000 $425.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-capitone-chesterfield-cuero-bonded-envejecido/
3;SOFA MUSTREAL 3 CUERPOS 195CM FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Trabajado en felpa de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Patas de madera.";$245.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-mustang-montreal-3-cuerpos-felpa/
4;SOFA CITO 2 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$295.000 $215.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-cito-2-cuerpos-felpa/
5;SOFA MONTREAL 3 CUERPOS CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Cuero Bonded de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$395.000 $365.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-montreal-3-cuerpos-cuero-bonded-envejecido/
6;SOFA MONTREAL 2 CUERPOS CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Cuero Bonded de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$345.000 $295.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-montreal-2-cuerpos-cuero-bonded-envejecido/
7;SOFA CHESTERFIELD CAPITONE 1 CUERPO CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas cuero bonded de alta resistencia, lavable.
Costuras reforzadas para zonas de mayor desgaste.
Pata en madera seca tinturada y lacada para mayor proteccion.";$295.000 $265.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-1-cuerpo-capitone-envejecido/
8;SILLON MONTREAL 1 CUERPO CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Cuero Bonded de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$195.000 $175.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sillon-montreal-cuero-bonded-envejecido/
9;SOFA MUSTANG 3 CUERPOS CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Cuero Bonded de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$425.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-mustang-3-cuerpos-cuero-bonded-envejecido/
